owner	score	last_edit_date	last_activity_date	creation_date	post_type	post_id	link
{'reputation': 3, 'user_id': 9565908, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-XVgW6ko-jYI/AAAAAAAAAAI/AAAAAAAAFcg/uYUvbSxLbSE/photo.jpg?sz=128', 'display_name': 'Ous', 'link': 'https://stackoverflow.com/users/9565908/ous'}	-1		1552510924	1552509107	question	55150735	https://stackoverflow.com/q/55150735
{'reputation': 2477, 'user_id': 1757401, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/5A4ie.jpg?s=128&g=1', 'display_name': 'Josue Espinosa', 'link': 'https://stackoverflow.com/users/1757401/josue-espinosa'}	15	1550672355.0	1550672355	1387510720	question	20695877	https://stackoverflow.com/q/20695877
{'reputation': 352, 'user_id': 11088692, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8FEBC.png?s=128&g=1', 'display_name': 'Andrey', 'link': 'https://stackoverflow.com/users/11088692/andrey'}	0	1550653717.0	1550653717	1550651266	question	54781827	https://stackoverflow.com/q/54781827
{'reputation': 27, 'user_id': 10716939, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ecffe2885cbaa24484e479adb4cb052a?s=128&d=identicon&r=PG&f=1', 'display_name': 'filip1337', 'link': 'https://stackoverflow.com/users/10716939/filip1337'}	2		1549642100	1549634219	question	54593947	https://stackoverflow.com/q/54593947
{'reputation': 35, 'user_id': 1651224, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ba2ddc2b08c159fe086a307545e863a?s=128&d=identicon&r=PG', 'display_name': 'Mrchuckles', 'link': 'https://stackoverflow.com/users/1651224/mrchuckles'}	1		1549465575	1547989246	question	54276710	https://stackoverflow.com/q/54276710
{'reputation': 30004, 'user_id': 1031569, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/MTZr2.png?s=128&g=1', 'display_name': 'Reactgular', 'link': 'https://stackoverflow.com/users/1031569/reactgular'}	1	1546869101.0	1546869906	1546868342	question	54075497	https://stackoverflow.com/q/54075497
{'reputation': 8, 'user_id': 7297002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7ed9e71fb478ea346f46e7c22fd18500?s=128&d=identicon&r=PG&f=1', 'display_name': 'Anon1231123', 'link': 'https://stackoverflow.com/users/7297002/anon1231123'}	-1		1546282025	1494878400	question	43987829	https://stackoverflow.com/q/43987829
{'reputation': 37, 'user_id': 8709940, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5fbf272fc1fbf22d3eb849e272292d4a?s=128&d=identicon&r=PG&f=1', 'display_name': 'jack john', 'link': 'https://stackoverflow.com/users/8709940/jack-john'}	4	1546183372.0	1546183928	1546181735	question	53978637	https://stackoverflow.com/q/53978637
{'reputation': 30, 'user_id': 10626486, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128', 'display_name': 'itagmi', 'link': 'https://stackoverflow.com/users/10626486/itagmi'}	1	1545204088.0	1545204088	1545196272	question	53844935	https://stackoverflow.com/q/53844935
{'reputation': 33, 'user_id': 4406522, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/mnaTl.jpg?s=128&g=1', 'display_name': 'Norro', 'link': 'https://stackoverflow.com/users/4406522/norro'}	1	1466446945.0	1543584391	1466443410	question	37928367	https://stackoverflow.com/q/37928367
{'reputation': 393, 'user_id': 3549132, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/CvAeX.jpg?s=128&g=1', 'display_name': 'Hard Spocker', 'link': 'https://stackoverflow.com/users/3549132/hard-spocker'}	2	1462427031.0	1542305764	1462424633	question	37042755	https://stackoverflow.com/q/37042755
{'reputation': 144, 'user_id': 4770609, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/pPu56.png?s=128&g=1', 'display_name': 'Faisal Ramzan', 'link': 'https://stackoverflow.com/users/4770609/faisal-ramzan'}	-1	1542233792.0	1542234680	1542231313	question	53309071	https://stackoverflow.com/q/53309071
{'reputation': 3, 'user_id': 7947246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/079abbbbaddcc8281f900eab89fcfe47?s=128&d=identicon&r=PG', 'display_name': 'Mitchell', 'link': 'https://stackoverflow.com/users/7947246/mitchell'}	0		1539992351	1539968571	question	52896952	https://stackoverflow.com/q/52896952
{'reputation': 21, 'user_id': 5747043, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YZUb7.jpg?s=128&g=1', 'display_name': 'malosch', 'link': 'https://stackoverflow.com/users/5747043/malosch'}	0	1534274099.0	1534274099	1534201173	question	51831639	https://stackoverflow.com/q/51831639
{'reputation': 13, 'user_id': 9859452, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/88badb103f92b932a65f51e6d53bed8c?s=128&d=identicon&r=PG&f=1', 'display_name': 'nirbhay', 'link': 'https://stackoverflow.com/users/9859452/nirbhay'}	-3	1533913382.0	1533914957	1533913108	question	51789226	https://stackoverflow.com/q/51789226
{'reputation': 6, 'user_id': 10140611, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86947a7f10647cbc60189b2d97729cb1?s=128&d=identicon&r=PG&f=1', 'display_name': 'brooksyp', 'link': 'https://stackoverflow.com/users/10140611/brooksyp'}	1	1533825971.0	1533825971	1533822148	question	51768666	https://stackoverflow.com/q/51768666
{'reputation': 41, 'user_id': 9822065, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128', 'display_name': 'owals owals', 'link': 'https://stackoverflow.com/users/9822065/owals-owals'}	0	1533113993.0	1533113993	1531992652	question	51419069	https://stackoverflow.com/q/51419069
{'reputation': 6, 'user_id': 10140611, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86947a7f10647cbc60189b2d97729cb1?s=128&d=identicon&r=PG&f=1', 'display_name': 'brooksyp', 'link': 'https://stackoverflow.com/users/10140611/brooksyp'}	0	1532629573.0	1532636104	1532627650	question	51544880	https://stackoverflow.com/q/51544880
{'reputation': 15, 'user_id': 9968719, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Au5jno2kZos/AAAAAAAAAAI/AAAAAAAAAFY/QN0iXs_WoT4/photo.jpg?sz=128', 'display_name': 'TheBandolero', 'link': 'https://stackoverflow.com/users/9968719/thebandolero'}	0	1530812346.0	1530812346	1530804180	question	51194979	https://stackoverflow.com/q/51194979
{'reputation': 9, 'user_id': 4894657, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-7hkUOjaIS1A/AAAAAAAAAAI/AAAAAAAABjM/JtZuJWmTvdc/photo.jpg?sz=128', 'display_name': 'Hritik rai', 'link': 'https://stackoverflow.com/users/4894657/hritik-rai'}	-3	1530112932.0	1530112932	1530112394	question	51066264	https://stackoverflow.com/q/51066264
nan	3	1529711712.0	1529711752	1529704549	question	50996046	https://stackoverflow.com/q/50996046
{'reputation': 475, 'user_id': 3243173, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/0d72148e40f2ffe5ebb796c9f055a6ec?s=128&d=identicon&r=PG&f=1', 'display_name': 'John_911', 'link': 'https://stackoverflow.com/users/3243173/john-911'}	-1		1527920924	1391063894	question	21449491	https://stackoverflow.com/q/21449491
{'reputation': 8, 'user_id': 8974334, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d04a3e8baff900cca0a26d6c26b86e3?s=128&d=identicon&r=PG&f=1', 'display_name': 'user8974334', 'link': 'https://stackoverflow.com/users/8974334/user8974334'}	1	1527192178.0	1527193060	1527191228	question	50517090	https://stackoverflow.com/q/50517090
{'reputation': 312, 'user_id': 4635579, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/1031b987dac0aa7565b83ef51474e6f3?s=128&d=identicon&r=PG&f=1', 'display_name': 'DANIEL', 'link': 'https://stackoverflow.com/users/4635579/daniel'}	2	1463899598.0	1525877581	1463895775	question	37370967	https://stackoverflow.com/q/37370967
{'reputation': 1434, 'user_id': 1118019, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/33dbc917ab7157dbb85aef3e31245df3?s=128&d=identicon&r=PG', 'display_name': 'user1118019', 'link': 'https://stackoverflow.com/users/1118019/user1118019'}	0	1334768946.0	1525284806	1334768647	question	10214320	https://stackoverflow.com/q/10214320
{'reputation': 23, 'user_id': 6423904, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf2dab9db192fe8fdc3a66038a86ce2a?s=128&d=identicon&r=PG&f=1', 'display_name': 'Caj Mulligan', 'link': 'https://stackoverflow.com/users/6423904/caj-mulligan'}	0		1524600991	1524599302	question	50009723	https://stackoverflow.com/q/50009723
{'reputation': 10, 'user_id': 8964633, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68546a12c50a810b0e796b7d1d50619a?s=128&d=identicon&r=PG&f=1', 'display_name': 'Coder14', 'link': 'https://stackoverflow.com/users/8964633/coder14'}	0		1522440790	1522439941	question	49580666	https://stackoverflow.com/q/49580666
{'reputation': 30, 'user_id': 5831005, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/32f3059fc379f649bcaf56266f51a674?s=128&d=identicon&r=PG&f=1', 'display_name': 'Miljan Ilic', 'link': 'https://stackoverflow.com/users/5831005/miljan-ilic'}	3	1521146784.0	1521146784	1521142549	question	49307876	https://stackoverflow.com/q/49307876
{'reputation': 22, 'user_id': 7069608, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1835312866715115/picture?type=large', 'display_name': 'Robert Ţiganetea', 'link': 'https://stackoverflow.com/users/7069608/robert-%c5%a2iganetea'}	0	1520270767.0	1520280791	1520270571	question	49116109	https://stackoverflow.com/q/49116109
{'reputation': 1, 'user_id': 9386839, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/--nbGbN7_wEA/AAAAAAAAAAI/AAAAAAAAASI/laB37vUZeSM/photo.jpg?sz=128', 'display_name': 'Regina Jako Rika', 'link': 'https://stackoverflow.com/users/9386839/regina-jako-rika'}	0	1519148201.0	1519882582	1519144845	question	48890091	https://stackoverflow.com/q/48890091
{'reputation': 79, 'user_id': 9357307, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128', 'display_name': 'Sang Nguyen', 'link': 'https://stackoverflow.com/users/9357307/sang-nguyen'}	0		1519864695	1519859635	question	49040234	https://stackoverflow.com/q/49040234
{'reputation': 17, 'user_id': 8634006, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1459100494156951/picture?type=large', 'display_name': 'Callum', 'link': 'https://stackoverflow.com/users/8634006/callum'}	0		1518901737	1518900957	question	48845848	https://stackoverflow.com/q/48845848
{'reputation': 50, 'user_id': 8769474, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://lh5.googleusercontent.com/-FWBeV3AJWkY/AAAAAAAAAAI/AAAAAAAAADo/KaUQP-tFsCI/photo.jpg?sz=128', 'display_name': 'Ballo Adam', 'link': 'https://stackoverflow.com/users/8769474/ballo-adam'}	1	1518783192.0	1518786651	1518783054	question	48826490	https://stackoverflow.com/q/48826490
{'reputation': 1, 'user_id': 9313899, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2cd352712d35befa99b9141908c2ddf0?s=128&d=identicon&r=PG&f=1', 'display_name': 'callieping', 'link': 'https://stackoverflow.com/users/9313899/callieping'}	0	1517779450.0	1517780086	1517778721	question	48613056	https://stackoverflow.com/q/48613056
{'reputation': 933, 'user_id': 5716477, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/iPOXu.jpg?s=128&g=1', 'display_name': 'FutureCake', 'link': 'https://stackoverflow.com/users/5716477/futurecake'}	3	1517393324.0	1517395349	1517389715	question	48538319	https://stackoverflow.com/q/48538319
{'reputation': 75, 'user_id': 4566161, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/601c7e4c24f4d736881d1d2bda7dcff1?s=128&d=identicon&r=PG&f=1', 'display_name': 'Pintolus', 'link': 'https://stackoverflow.com/users/4566161/pintolus'}	1	1516882362.0	1516883833	1516882307	question	48442582	https://stackoverflow.com/q/48442582
{'reputation': 8089, 'user_id': 6313073, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/DDGhA.jpg?s=128&g=1', 'display_name': 'Angel Politis', 'link': 'https://stackoverflow.com/users/6313073/angel-politis'}	1	1516847063.0	1516847063	1464336974	question	37478317	https://stackoverflow.com/q/37478317
{'reputation': 561, 'user_id': 5015595, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://lh5.googleusercontent.com/-lF5qTJTKLJY/AAAAAAAAAAI/AAAAAAAAABQ/R7nUl6wDyeY/photo.jpg?sz=128', 'display_name': 'Theodore Steiner', 'link': 'https://stackoverflow.com/users/5015595/theodore-steiner'}	3	1513962430.0	1516115404	1513961638	question	47944876	https://stackoverflow.com/q/47944876
{'reputation': 1, 'user_id': 5010770, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1090179554345438/picture?type=large', 'display_name': 'Andrea Fiocchi', 'link': 'https://stackoverflow.com/users/5010770/andrea-fiocchi'}	0	1515939194.0	1515941640	1515938804	question	48250373	https://stackoverflow.com/q/48250373
{'reputation': 61, 'user_id': 6518078, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/83619beeb9a0d00d9ba2a2882960269f?s=128&d=identicon&r=PG', 'display_name': 'sanjay rathod', 'link': 'https://stackoverflow.com/users/6518078/sanjay-rathod'}	0	1514441097.0	1515135209	1514440708	question	48002300	https://stackoverflow.com/q/48002300
{'reputation': 7, 'user_id': 9063677, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/v6VQa.jpg?s=128&g=1', 'display_name': 'MarlyMarMar', 'link': 'https://stackoverflow.com/users/9063677/marlymarmar'}	0	1514933241.0	1514933740	1514931756	question	48068654	https://stackoverflow.com/q/48068654
{'reputation': 587, 'user_id': 5673922, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/dbf835b56b5a5dc577080b8452040157?s=128&d=identicon&r=PG&f=1', 'display_name': 'Nelson', 'link': 'https://stackoverflow.com/users/5673922/nelson'}	2	1513364485.0	1513364485	1506015922	question	46350183	https://stackoverflow.com/q/46350183
{'reputation': 58, 'user_id': 8724413, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/o015N.jpg?s=128&g=1', 'display_name': 'Samir', 'link': 'https://stackoverflow.com/users/8724413/samir'}	0		1513162278	1513161857	question	47791084	https://stackoverflow.com/q/47791084
{'reputation': 55, 'user_id': 7356888, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/11d28eaf75ab339552ce296b6d5d216b?s=128&d=identicon&r=PG&f=1', 'display_name': 'Rafa', 'link': 'https://stackoverflow.com/users/7356888/rafa'}	1		1512814831	1512813681	question	47727413	https://stackoverflow.com/q/47727413
{'reputation': 48, 'user_id': 961296, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/4f90a44fb456c9acc15b8d0244562781?s=128&d=identicon&r=PG', 'display_name': 'kig', 'link': 'https://stackoverflow.com/users/961296/kig'}	9	1512061482.0	1512281640	1512059975	question	47578337	https://stackoverflow.com/q/47578337
{'reputation': 818, 'user_id': 6928258, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/GokHM.png?s=128&g=1', 'display_name': 'Naren Verma', 'link': 'https://stackoverflow.com/users/6928258/naren-verma'}	0		1511516211	1511251870	question	47408143	https://stackoverflow.com/q/47408143
{'reputation': 57, 'user_id': 8383607, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d32f894b8e4bacffa0dc2d7c5612799c?s=128&d=identicon&r=PG&f=1', 'display_name': 'Mudassar', 'link': 'https://stackoverflow.com/users/8383607/mudassar'}	2		1511421650	1511416825	question	47448578	https://stackoverflow.com/q/47448578
{'reputation': 17, 'user_id': 8398927, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ddc26442f62d2d76d3957b8a06e50d6?s=128&d=identicon&r=PG&f=1', 'display_name': 'Airas Yaqub', 'link': 'https://stackoverflow.com/users/8398927/airas-yaqub'}	0		1510827353	1510823672	question	47325644	https://stackoverflow.com/q/47325644
{'reputation': 29234, 'user_id': 9382, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/bc7b9ac824e43ce9d62bf7dfb37b6393?s=128&d=identicon&r=PG', 'display_name': 'AngryHacker', 'link': 'https://stackoverflow.com/users/9382/angryhacker'}	2		1510797035	1510791541	question	47319525	https://stackoverflow.com/q/47319525
{'reputation': 1, 'user_id': 8906381, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10154923462086044/picture?type=large', 'display_name': 'RinseUseBang', 'link': 'https://stackoverflow.com/users/8906381/rinseusebang'}	0		1510142628	1510141497	question	47178871	https://stackoverflow.com/q/47178871
{'reputation': 35, 'user_id': 8420023, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/21b486bb4ca0b5feb9d75cc34b54f291?s=128&d=identicon&r=PG&f=1', 'display_name': 'Jordan Jones', 'link': 'https://stackoverflow.com/users/8420023/jordan-jones'}	0	1508822333.0	1508822333	1508818531	question	46902092	https://stackoverflow.com/q/46902092
nan	1		1508152495	1507728000	question	46689302	https://stackoverflow.com/q/46689302
{'reputation': 36, 'user_id': 8200184, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/fb9e97ba759e173d7ba52e3576b283af?s=128&d=identicon&r=PG&f=1', 'display_name': 'Leo', 'link': 'https://stackoverflow.com/users/8200184/leo'}	2	1507717816.0	1507719162	1507716705	question	46685527	https://stackoverflow.com/q/46685527
{'reputation': 6, 'user_id': 6813005, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19a874966f357d90a1b5bc26d11bad81?s=128&d=identicon&r=PG&f=1', 'display_name': 'Nty', 'link': 'https://stackoverflow.com/users/6813005/nty'}	0	1505915144.0	1505921450	1505910815	question	46322248	https://stackoverflow.com/q/46322248
{'reputation': 90, 'user_id': 7940355, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/31505dcba2fa97fb4fd3f8c5cdc6272e?s=128&d=identicon&r=PG&f=1', 'display_name': 'AbuN2286', 'link': 'https://stackoverflow.com/users/7940355/abun2286'}	0	1505504776.0	1505505998	1505504378	question	46246471	https://stackoverflow.com/q/46246471
{'reputation': 3, 'user_id': 8507117, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/03024b8ca939b8f85fe5082b1680558b?s=128&d=identicon&r=PG&f=1', 'display_name': 'PepiLepi', 'link': 'https://stackoverflow.com/users/8507117/pepilepi'}	0		1505068511	1505066592	question	46143903	https://stackoverflow.com/q/46143903
{'reputation': 26, 'user_id': 8114092, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/b4022bae1af0ee188537e299f4c68ced?s=128&d=identicon&r=PG&f=1', 'display_name': 'marwa m', 'link': 'https://stackoverflow.com/users/8114092/marwa-m'}	0	1504711387.0	1504711387	1504701664	question	46075541	https://stackoverflow.com/q/46075541
{'reputation': 57, 'user_id': 6108371, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/0c12fa9c605505ef6179d6a74ece76cd?s=128&d=identicon&r=PG&f=1', 'display_name': 'in2d', 'link': 'https://stackoverflow.com/users/6108371/in2d'}	2	1504029017.0	1504029017	1485090326	question	41791236	https://stackoverflow.com/q/41791236
{'reputation': 4, 'user_id': 6728630, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/48243c709b86601d2a9d9f28083c0e15?s=128&d=identicon&r=PG&f=1', 'display_name': 'gcollins', 'link': 'https://stackoverflow.com/users/6728630/gcollins'}	0	1503379313.0	1503380010	1503378935	question	45809366	https://stackoverflow.com/q/45809366
{'reputation': 1631, 'user_id': 372630, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/2d0224b1ad53ea601f2d4825a1ce89ff?s=128&d=identicon&r=PG', 'display_name': 'GSTAR', 'link': 'https://stackoverflow.com/users/372630/gstar'}	1	1502980665.0	1502980665	1502820070	question	45698746	https://stackoverflow.com/q/45698746
{'reputation': 1034, 'user_id': 7058735, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://lh5.googleusercontent.com/-QqbfPWGVQaE/AAAAAAAAAAI/AAAAAAAAAA8/n454Z28gDY0/photo.jpg?sz=128', 'display_name': 'K Split X', 'link': 'https://stackoverflow.com/users/7058735/k-split-x'}	0		1502601309	1502592070	question	45656589	https://stackoverflow.com/q/45656589
{'reputation': 58, 'user_id': 8061998, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/f2ebe37d8d9a66f9817120816c3774e1?s=128&d=identicon&r=PG&f=1', 'display_name': 'vuffer', 'link': 'https://stackoverflow.com/users/8061998/vuffer'}	0		1502580308	1502579985	question	45655749	https://stackoverflow.com/q/45655749
nan	2	1502550401.0	1502550489	1502550093	question	45651653	https://stackoverflow.com/q/45651653
